Symbol,ATR_%,ADX,Trend_Divergence_%,Gap_Freq_%,Avg_Volume,Volatility,Trend,Liquidity,Generated_At
PIDILITIND.NS,2.02,,4.15,11.65,753438.0,High,Sideways,Good,2026-07-18 07:04:46
POLYCAB.NS,3.09,,17.6,10.4,403711.0,High,Uptrend,Good,2026-07-18 07:04:46
PFC.NS,2.12,,7.09,10.44,5404122.0,High,Uptrend,Excellent,2026-07-18 07:04:46
POWERGRID.NS,1.61,,2.23,14.06,9166871.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
PREMIERENE.NS,2.87,,11.35,16.06,1165817.0,High,Uptrend,Excellent,2026-07-18 07:04:46
PRESTIGE.NS,3.34,,-1.61,16.47,942789.0,High,Sideways,Good,2026-07-18 07:04:46
PNB.NS,2.08,,-7.46,10.0,15141329.0,High,Downtrend,Excellent,2026-07-18 07:04:46
RECLTD.NS,2.08,,-0.58,10.8,5729303.0,High,Sideways,Excellent,2026-07-18 07:04:46
RADICO.NS,2.29,,16.11,10.84,352610.0,High,Uptrend,Good,2026-07-18 07:04:46
RVNL.NS,2.18,,-16.74,18.07,4565397.0,High,Downtrend,Excellent,2026-07-18 07:04:46
RELIANCE.NS,1.63,,-6.63,8.8,12281403.0,Medium,Downtrend,Excellent,2026-07-18 07:04:46
SBICARD.NS,2.52,,-18.35,9.6,1705485.0,High,Downtrend,Excellent,2026-07-18 07:04:46
SBILIFE.NS,2.27,,-5.52,8.84,1002199.0,High,Downtrend,Excellent,2026-07-18 07:04:46
SRF.NS,2.58,,-1.96,9.64,470910.0,High,Sideways,Good,2026-07-18 07:04:46
MOTHERSON.NS,2.58,,15.55,16.8,22047011.0,High,Uptrend,Excellent,2026-07-18 07:04:46
SHREECEM.NS,2.12,,-3.33,9.64,23352.0,High,Sideways,Poor,2026-07-18 07:04:46
SHRIRAMFIN.NS,2.75,,5.58,19.28,5122697.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ENRIN.NS,4.16,,14.98,13.6,477294.0,High,Uptrend,Good,2026-07-18 07:04:46
SIEMENS.NS,2.74,,9.49,12.1,364304.0,High,Uptrend,Good,2026-07-18 07:04:46
SOLARINDS.NS,3.29,,22.06,10.04,148595.0,High,Uptrend,Good,2026-07-18 07:04:46
SBIN.NS,1.85,,-0.28,11.6,10226841.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
SAIL.NS,2.79,,16.15,15.2,15552053.0,High,Uptrend,Excellent,2026-07-18 07:04:46
SUNPHARMA.NS,1.69,,5.84,8.43,1935134.0,Medium,Uptrend,Excellent,2026-07-18 07:04:46
SUPREMEIND.NS,2.5,,-5.06,10.0,248160.0,High,Downtrend,Good,2026-07-18 07:04:46
SUZLON.NS,2.56,,7.03,14.0,61088881.0,High,Uptrend,Excellent,2026-07-18 07:04:46
SWIGGY.NS,4.07,,-21.75,17.2,18425860.0,High,Downtrend,Excellent,2026-07-18 07:04:46
TVSMOTOR.NS,2.64,,-2.83,16.87,1042196.0,High,Sideways,Excellent,2026-07-18 07:04:46
TATACAP.NS,,,,,,Unknown,Unknown,Unknown,2026-07-18 07:04:46
TATACOMM.NS,2.9,,9.23,9.6,546496.0,High,Uptrend,Good,2026-07-18 07:04:46
TCS.NS,3.06,,-17.88,14.8,5255561.0,High,Downtrend,Excellent,2026-07-18 07:04:46
TATACONSUM.NS,2.2,,0.41,8.0,1607429.0,High,Sideways,Excellent,2026-07-18 07:04:46
TATAELXSI.NS,3.64,,-14.35,10.4,476971.0,High,Downtrend,Good,2026-07-18 07:04:46
TATAINVEST.NS,2.08,,-4.48,16.0,273259.0,High,Sideways,Good,2026-07-18 07:04:46
TMCV.NS,,,,,,Unknown,Unknown,Unknown,2026-07-18 07:04:46
TMPV.NS,2.37,,-3.67,16.4,10898774.0,High,Sideways,Excellent,2026-07-18 07:04:46
TATAPOWER.NS,1.74,,1.87,8.0,4766143.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
TATASTEEL.NS,1.98,,5.62,16.0,27157529.0,Medium,Uptrend,Excellent,2026-07-18 07:04:46
TECHM.NS,3.24,,-1.95,15.2,2731586.0,High,Sideways,Excellent,2026-07-18 07:04:46
TITAN.NS,1.88,,4.73,11.2,900129.0,Medium,Sideways,Good,2026-07-18 07:04:46
TORNTPHARM.NS,2.63,,11.58,7.6,852538.0,High,Uptrend,Good,2026-07-18 07:04:46
TRENT.NS,2.84,,-10.67,14.8,1772868.0,High,Downtrend,Excellent,2026-07-18 07:04:46
TIINDIA.NS,2.79,,8.43,9.24,243752.0,High,Uptrend,Good,2026-07-18 07:04:46
UPL.NS,2.94,,-9.28,10.04,2832806.0,High,Downtrend,Excellent,2026-07-18 07:04:46
ULTRACEMCO.NS,1.79,,-3.24,10.44,227713.0,Medium,Sideways,Good,2026-07-18 07:04:46
UNIONBANK.NS,3.18,,1.37,15.6,17952088.0,High,Sideways,Excellent,2026-07-18 07:04:46
UNITDSPR.NS,2.19,,-2.46,8.84,891859.0,High,Sideways,Good,2026-07-18 07:04:46
VBL.NS,2.64,,7.96,13.2,5712084.0,High,Uptrend,Excellent,2026-07-18 07:04:46
VEDL.NS,2.52,,-41.63,25.6,25457851.0,High,Downtrend,Excellent,2026-07-18 07:04:46
VMM.NS,2.98,,-5.75,16.4,10020637.0,High,Downtrend,Excellent,2026-07-18 07:04:46
IDEA.NS,2.77,,25.98,24.4,350037724.0,High,Uptrend,Excellent,2026-07-18 07:04:46
VOLTAS.NS,2.54,,-5.65,14.4,988732.0,High,Downtrend,Good,2026-07-18 07:04:46
WAAREEENER.NS,2.53,,-1.89,20.88,792516.0,High,Sideways,Good,2026-07-18 07:04:46
WIPRO.NS,2.21,,-14.4,18.0,21150799.0,High,Downtrend,Excellent,2026-07-18 07:04:46
YESBANK.NS,2.16,,7.23,12.0,80971138.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ZYDUSLIFE.NS,2.26,,12.37,9.2,1404994.0,High,Uptrend,Excellent,2026-07-18 07:04:46
ANGELONE.NS,3.74,,21.74,16.4,6821356.0,High,Uptrend,Excellent,2026-07-18 07:04:46
CDSL.NS,2.61,,-7.24,13.6,1959519.0,High,Downtrend,Excellent,2026-07-18 07:04:46
CAMS.NS,2.67,,4.78,14.8,1171055.0,High,Sideways,Excellent,2026-07-18 07:04:46
KAYNES.NS,3.33,,-24.17,18.0,1160011.0,High,Downtrend,Excellent,2026-07-18 07:04:46
DATAPATTNS.NS,3.71,,30.11,13.25,679530.0,High,Uptrend,Good,2026-07-18 07:04:46
OLECTRA.NS,3.67,,8.46,12.0,699094.0,High,Uptrend,Good,2026-07-18 07:04:46
APARINDS.NS,5.06,,33.78,18.47,145329.0,High,Uptrend,Good,2026-07-18 07:04:46
TATACHEM.NS,2.5,,-2.74,10.8,855828.0,High,Sideways,Good,2026-07-18 07:04:46
ACE.NS,3.28,,0.28,14.0,341298.0,High,Sideways,Good,2026-07-18 07:04:46
POONAWALLA.NS,3.34,,-5.29,14.86,2023980.0,High,Downtrend,Excellent,2026-07-18 07:04:46
NIFTYBEES.NS,1.16,,-3.73,11.24,6343936.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
BANKBEES.NS,1.69,,-2.13,11.65,957446.0,Medium,Sideways,Good,2026-07-18 07:04:46
CPSEETF.NS,2.66,,2.08,38.55,1005607.0,High,Sideways,Excellent,2026-07-18 07:04:46
ITBEES.NS,3.64,,-13.5,44.58,23937934.0,High,Downtrend,Excellent,2026-07-18 07:04:46
GOLDBEES.NS,1.66,,4.53,36.95,24191938.0,Medium,Sideways,Excellent,2026-07-18 07:04:46
LIQUIDBEES.NS,0.1,,0.0,1.61,4268202.0,Low,Sideways,Excellent,2026-07-18 07:04:46
